Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Mexico,Liga MX,2025/2026,20/09/2025,02:00,Cruz Azul,Juarez,3,2,H,1.56,4.43,5.93,1.48,4.5,7.0,1.44,4.31,6.41,1.51,4.7,7.4,1.42,4.5,6.5
Mexico,Liga MX,2025/2026,20/09/2025,02:00,Necaxa,Puebla,1,0,H,1.83,3.82,4.43,1.76,3.9,4.75,1.73,3.67,4.25,1.8,4.0,4.9,1.68,3.75,4.75
Mexico,Liga MX,2025/2026,20/09/2025,04:00,Mazatlan FC,Atlas,1,1,D,2.3,3.53,3.18,2.26,3.6,3.1,2.21,3.4,2.95,2.42,3.55,3.2,2.2,3.6,3.0
Mexico,Liga MX,2025/2026,20/09/2025,04:05,Club Tijuana,Club Leon,5,0,H,1.92,4.02,3.78,1.91,4.0,3.8,1.86,3.83,3.5,1.94,4.1,4.1,1.86,3.9,3.8
Mexico,Liga MX,2025/2026,21/09/2025,00:00,Pachuca,Queretaro,0,2,A,1.34,5.45,9.01,1.35,5.75,9.0,1.32,4.9,8.3,1.36,5.8,10.0,1.33,5.75,7.5
Mexico,Liga MX,2025/2026,21/09/2025,02:00,UNAM Pumas,Tigres UANL,1,1,D,2.45,3.43,3.0,2.14,3.4,3.75,2.03,3.32,3.43,2.12,3.6,3.8,2.01,3.4,3.7
Mexico,Liga MX,2025/2026,21/09/2025,02:07,Guadalajara Chivas,Toluca,0,3,A,3.09,3.53,2.35,3.1,3.6,2.35,2.86,3.42,2.27,3.25,3.7,2.34,3.0,3.6,2.25
Mexico,Liga MX,2025/2026,21/09/2025,04:05,Monterrey,Club America,2,2,D,2.53,3.47,2.86,2.18,3.6,3.6,2.06,3.49,3.19,2.22,3.7,3.45,1.96,3.5,3.6
Mexico,Liga MX,2025/2026,22/09/2025,00:00,Santos Laguna,Atl. San Luis,1,4,A,2.54,3.71,2.71,2.55,3.65,2.66,2.45,3.5,2.55,2.62,3.7,2.78,2.45,3.6,2.55
Mexico,Liga MX,2025/2026,24/09/2025,02:00,Puebla,Pachuca,2,2,D,3.75,3.85,1.97,3.9,3.8,1.91,3.67,3.64,1.87,4.0,3.85,2.0,3.9,3.7,1.86
Mexico,Liga MX,2025/2026,24/09/2025,02:07,Guadalajara Chivas,Necaxa,3,1,H,1.86,3.75,4.3,2.05,3.7,3.7,1.95,3.54,3.45,2.1,3.65,3.95,1.96,3.7,3.6
Mexico,Liga MX,2025/2026,24/09/2025,04:00,Juarez,UNAM Pumas,3,1,H,2.87,3.12,2.74,3.0,3.25,2.74,2.8,3.1,2.48,3.1,3.3,2.58,3.0,3.1,2.35
Mexico,Liga MX,2025/2026,24/09/2025,04:05,Club Leon,Mazatlan FC,2,2,D,1.77,3.95,4.6,1.68,4.2,5.0,1.64,3.91,4.63,1.72,4.3,5.1,1.62,4.2,4.5
Mexico,Liga MX,2025/2026,25/09/2025,01:00,Cruz Azul,Queretaro,2,2,D,1.23,6.72,12.57,1.32,6.0,11.0,1.27,5.44,9.16,1.34,5.9,10.0,1.27,5.75,8.0
Mexico,Liga MX,2025/2026,25/09/2025,02:00,Tigres UANL,Atlas,2,0,H,1.38,5.25,8.28,1.4,5.25,8.0,1.33,5.02,7.38,1.4,5.4,8.6,1.3,5.25,7.5
