Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Sweden,Allsvenskan,2025,21/09/2025,15:30,Sirius,Degerfors,1,3,A,1.55,4.59,5.45,1.55,4.8,5.75,1.49,4.39,5.3,1.59,4.9,5.7,1.49,4.75,5.0
Sweden,Allsvenskan,2025,22/09/2025,18:00,Varnamo,Halmstad,1,2,A,2.32,3.62,2.98,2.42,3.6,3.1,2.21,3.45,2.88,2.38,3.75,3.05,2.1,3.6,3.0
Sweden,Allsvenskan,2025,22/09/2025,18:10,Norrkoping,AIK,3,1,H,3.97,3.51,1.97,4.0,3.5,2.1,3.49,3.29,2.02,3.9,3.5,2.14,3.6,3.3,2.05
Sweden,Allsvenskan,2025,27/09/2025,14:00,Elfsborg,Degerfors,1,2,A,1.78,3.84,4.52,2.0,3.75,3.6,1.94,3.57,3.44,2.08,3.9,3.7,1.91,3.75,3.4
Sweden,Allsvenskan,2025,27/09/2025,16:30,Hacken,Norrkoping,2,0,H,1.65,4.33,4.76,1.66,4.4,4.75,1.61,4.19,4.43,1.67,4.5,5.2,1.56,4.33,4.75
Sweden,Allsvenskan,2025,28/09/2025,13:00,Brommapojkarna,Mjallby,0,1,A,3.45,3.61,2.1,3.5,3.75,2.1,3.31,3.5,2.01,3.7,3.7,2.12,3.5,3.5,2.01
Sweden,Allsvenskan,2025,28/09/2025,13:00,Halmstad,Hammarby,1,0,H,4.58,4.04,1.72,4.9,4.1,1.75,4.46,3.81,1.67,5.0,4.1,1.77,4.33,3.9,1.68
Sweden,Allsvenskan,2025,28/09/2025,15:30,AIK,GAIS,1,1,D,2.22,3.29,3.47,2.3,3.25,3.25,2.23,3.13,3.12,2.34,3.3,3.55,2.2,3.25,3.2
Sweden,Allsvenskan,2025,28/09/2025,15:30,Malmo FF,Varnamo,3,2,H,1.2,7.17,13.07,1.22,7.0,13.0,1.18,6.57,11.57,1.22,8.2,15.0,1.17,7.0,12.0
Sweden,Allsvenskan,2025,29/09/2025,18:00,Djurgarden,Sirius,8,2,H,1.85,4.02,3.89,2.05,3.85,3.66,1.94,3.68,3.34,2.1,3.9,3.6,2.01,3.75,3.2
Sweden,Allsvenskan,2025,29/09/2025,18:10,Oster,Goteborg,0,2,A,3.43,3.88,2.02,3.45,3.75,2.05,3.3,3.52,2.0,3.6,3.85,2.14,3.4,3.7,1.96
Sweden,Allsvenskan,2025,04/10/2025,14:00,Degerfors,Djurgarden,1,1,D,3.71,3.83,1.94,3.65,3.75,2.0,3.48,3.59,1.93,3.95,3.75,2.02,3.4,3.6,1.96
Sweden,Allsvenskan,2025,04/10/2025,14:00,Mjallby,Elfsborg,2,0,H,1.79,3.84,4.39,1.78,3.85,4.7,1.72,3.66,4.38,1.83,3.9,4.9,1.71,3.8,4.33
Sweden,Allsvenskan,2025,04/10/2025,14:00,Oster,Halmstad,3,0,H,2.3,3.24,3.35,2.3,3.4,3.4,2.22,3.22,3.1,2.4,3.25,3.5,2.15,3.4,3.2
Sweden,Allsvenskan,2025,04/10/2025,16:30,GAIS,Norrkoping,2,1,H,1.43,4.74,7.18,1.4,5.0,8.5,1.35,4.65,7.55,1.44,5.0,8.6,1.37,4.75,7.0
Sweden,Allsvenskan,2025,05/10/2025,13:00,AIK,Varnamo,2,3,A,1.41,4.98,7.35,1.46,4.7,7.0,1.43,4.38,6.36,1.51,4.9,7.2,1.45,4.5,5.75
Sweden,Allsvenskan,2025,05/10/2025,13:00,Goteborg,Hammarby,1,2,A,2.9,3.69,2.34,2.75,3.6,2.45,2.66,3.44,2.38,2.84,3.6,2.62,2.65,3.5,2.4
Sweden,Allsvenskan,2025,05/10/2025,15:30,Brommapojkarna,Hacken,1,3,A,3.21,3.82,2.13,3.2,3.75,2.25,2.91,3.62,2.14,3.35,3.8,2.22,3.2,3.75,2.01
Sweden,Allsvenskan,2025,05/10/2025,15:30,Sirius,Malmo FF,5,1,H,2.72,3.7,2.47,2.8,3.66,2.55,2.6,3.44,2.42,2.82,3.85,2.54,2.57,3.4,2.45
