Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
China,Super League,2025,21/09/2025,12:35,Tianjin Jinmen Tiger,Shenzhen Xinpengcheng,1,0,H,1.93,3.62,4.04,1.95,3.7,3.85,1.88,3.53,3.63,1.98,3.85,4.0,1.86,3.7,3.75
China,Super League,2025,21/09/2025,13:00,Shanghai Shenhua,Chengdu Rongcheng,1,1,D,2.6,3.5,2.71,2.6,3.6,2.55,2.55,3.47,2.44,2.72,3.65,2.7,2.57,3.6,2.35
China,Super League,2025,26/09/2025,11:00,Shanghai Shenhua,Meizhou Hakka,6,1,H,1.24,6.8,10.04,1.21,8.5,15.0,1.15,7.38,12.5,1.17,9.8,19.0,1.11,8.0,15.0
China,Super League,2025,26/09/2025,12:35,Beijing Guoan,Dalian Yingbo,4,2,H,1.52,4.9,5.5,1.52,4.75,6.5,1.46,4.45,5.47,1.55,5.0,6.2,1.42,4.75,6.5
China,Super League,2025,26/09/2025,13:00,Shanghai Port,Wuhan Three Towns,3,2,H,1.21,7.82,10.73,1.19,7.5,12.0,1.18,7.07,10.6,1.21,9.0,15.5,1.17,7.5,12.0
China,Super League,2025,26/09/2025,13:00,Zhejiang Professional,Chengdu Rongcheng,3,3,D,3.67,3.78,1.99,4.0,3.85,1.88,3.69,3.64,1.84,4.0,3.9,1.99,4.0,3.6,1.86
China,Super League,2025,27/09/2025,11:00,Changchun Yatai,Qingdao Hainiu,2,2,D,3.17,3.46,2.3,2.8,3.4,2.5,2.73,3.25,2.39,3.1,3.4,2.56,2.75,3.3,2.45
China,Super League,2025,28/09/2025,12:00,Tianjin Jinmen Tiger,Henan Songshan Longmen,1,0,H,2.99,3.9,2.23,3.1,3.8,2.2,2.88,3.64,2.14,3.15,3.95,2.28,3.1,3.7,2.15
China,Super League,2025,28/09/2025,12:35,Shenzhen Xinpengcheng,Qingdao West Coast,1,2,A,2.59,3.3,2.86,2.5,3.35,3.2,2.39,3.23,2.76,2.66,3.4,2.9,2.32,3.2,3.2
China,Super League,2025,04/10/2025,12:00,Meizhou Hakka,Qingdao Hainiu,1,0,H,2.49,3.7,2.72,2.5,3.6,2.66,2.47,3.48,2.51,2.62,3.75,2.74,2.5,3.6,2.5
China,Super League,2025,04/10/2025,12:35,Dalian Yingbo,Qingdao West Coast,0,2,A,1.8,3.9,4.37,1.8,4.0,4.5,1.74,3.75,4.04,1.84,4.0,4.6,1.68,4.0,4.5
China,Super League,2025,04/10/2025,12:35,Shandong Taishan,Yunnan Yukun,1,1,D,1.25,6.82,9.63,1.25,7.0,9.5,1.23,6.27,8.66,1.27,7.4,11.0,1.22,7.0,9.5
