Match Number,Round Number,Date,Location,Home Team,Away Team,Result
219,25,07/03/2026 14:30,Millerntor-Stadion,St Pauli,Ein Frankfurt,
220,25,07/03/2026 14:30,An der Alten Försterei,Union Berlin,Werder Bremen,
221,25,07/03/2026 14:30,Volkswagen Arena,Wolfsburg,Hamburg,
222,25,07/03/2026 14:30,Red Bull Arena,RB Leipzig,Augsburg,
223,25,07/03/2026 14:30,Mewa Arena,1. FSV Mainz 05,Stuttgart,
224,25,07/03/2026 14:30,Europa-Park Stadion,Sport-Club Freiburg,Leverkusen,
225,25,07/03/2026 14:30,Allianz Arena,Bayern Munich,Borussia Mönchengladbach,
226,26,14/03/2026 14:30,Volksparkstadion,Hamburg,FC Koln,
227,26,14/03/2026 14:30,PreZero Arena,Hoffenheim,Wolfsburg,
228,26,14/03/2026 14:30,Borussia-Park,Borussia Mönchengladbach,St Pauli,
229,26,14/03/2026 14:30,MHPArena,Stuttgart,RB Leipzig,
230,26,14/03/2026 14:30,Weserstadion,Werder Bremen,1. FSV Mainz 05,
231,26,14/03/2026 14:30,Europa-Park Stadion,Sport-Club Freiburg,Union Berlin,
232,26,14/03/2026 14:30,Signal Iduna Park,Dortmund,Augsburg,
233,26,14/03/2026 14:30,Deutsche Bank Park,Ein Frankfurt,Heidenheim,
234,26,14/03/2026 14:30,BayArena,Leverkusen,Bayern Munich,
235,27,21/03/2026 14:30,RheinEnergieStadion,FC Koln,Borussia Mönchengladbach,
236,27,21/03/2026 14:30,Voith-Arena,Heidenheim,Leverkusen,
237,27,21/03/2026 14:30,Millerntor-Stadion,St Pauli,Sport-Club Freiburg,
238,27,21/03/2026 14:30,WWK Arena,Augsburg,Stuttgart,
239,27,21/03/2026 14:30,Volkswagen Arena,Wolfsburg,Werder Bremen,
240,27,21/03/2026 14:30,Red Bull Arena,RB Leipzig,Hoffenheim,
241,27,21/03/2026 14:30,Mewa Arena,1. FSV Mainz 05,Ein Frankfurt,
242,27,21/03/2026 14:30,Signal Iduna Park,Dortmund,Hamburg,
243,27,21/03/2026 14:30,Allianz Arena,Bayern Munich,Union Berlin,
244,28,04/04/2026 13:30,Volksparkstadion,Hamburg,Augsburg,
245,28,04/04/2026 13:30,PreZero Arena,Hoffenheim,1. FSV Mainz 05,
246,28,04/04/2026 13:30,An der Alten Försterei,Union Berlin,St Pauli,
247,28,04/04/2026 13:30,Borussia-Park,Borussia Mönchengladbach,Heidenheim,
248,28,04/04/2026 13:30,MHPArena,Stuttgart,Dortmund,
249,28,04/04/2026 13:30,Weserstadion,Werder Bremen,RB Leipzig,
250,28,04/04/2026 13:30,Europa-Park Stadion,Sport-Club Freiburg,Bayern Munich,
251,28,04/04/2026 13:30,Deutsche Bank Park,Ein Frankfurt,FC Koln,
252,28,04/04/2026 13:30,BayArena,Leverkusen,Wolfsburg,
253,29,11/04/2026 13:30,RheinEnergieStadion,FC Koln,Werder Bremen,
254,29,11/04/2026 13:30,Voith-Arena,Heidenheim,Union Berlin,
255,29,11/04/2026 13:30,Millerntor-Stadion,St Pauli,Bayern Munich,
256,29,11/04/2026 13:30,WWK Arena,Augsburg,Hoffenheim,
257,29,11/04/2026 13:30,Volkswagen Arena,Wolfsburg,Ein Frankfurt,
258,29,11/04/2026 13:30,MHPArena,Stuttgart,Hamburg,
259,29,11/04/2026 13:30,Red Bull Arena,RB Leipzig,Borussia Mönchengladbach,
260,29,11/04/2026 13:30,Mewa Arena,1. FSV Mainz 05,Sport-Club Freiburg,
261,29,11/04/2026 13:30,Signal Iduna Park,Dortmund,Leverkusen,
262,30,18/04/2026 13:30,PreZero Arena,Hoffenheim,Dortmund,
263,30,18/04/2026 13:30,Millerntor-Stadion,St Pauli,FC Koln,
264,30,18/04/2026 13:30,An der Alten Försterei,Union Berlin,Wolfsburg,
265,30,18/04/2026 13:30,Borussia-Park,Borussia Mönchengladbach,1. FSV Mainz 05,
266,30,18/04/2026 13:30,Weserstadion,Werder Bremen,Hamburg,
267,30,18/04/2026 13:30,Europa-Park Stadion,Sport-Club Freiburg,Heidenheim,
268,30,18/04/2026 13:30,Deutsche Bank Park,Ein Frankfurt,RB Leipzig,
269,30,18/04/2026 13:30,BayArena,Leverkusen,Augsburg,
270,30,18/04/2026 13:30,Allianz Arena,Bayern Munich,Stuttgart,
271,31,25/04/2026 13:30,Volksparkstadion,Hamburg,Hoffenheim,
272,31,25/04/2026 13:30,RheinEnergieStadion,FC Koln,Leverkusen,
273,31,25/04/2026 13:30,Voith-Arena,Heidenheim,St Pauli,
274,31,25/04/2026 13:30,WWK Arena,Augsburg,Ein Frankfurt,
275,31,25/04/2026 13:30,Volkswagen Arena,Wolfsburg,Borussia Mönchengladbach,
276,31,25/04/2026 13:30,MHPArena,Stuttgart,Werder Bremen,
277,31,25/04/2026 13:30,Red Bull Arena,RB Leipzig,Union Berlin,
278,31,25/04/2026 13:30,Mewa Arena,1. FSV Mainz 05,Bayern Munich,
279,31,25/04/2026 13:30,Signal Iduna Park,Dortmund,Sport-Club Freiburg,
280,32,02/05/2026 13:30,PreZero Arena,Hoffenheim,Stuttgart,
281,32,02/05/2026 13:30,Millerntor-Stadion,St Pauli,1. FSV Mainz 05,
282,32,02/05/2026 13:30,An der Alten Försterei,Union Berlin,FC Koln,
283,32,02/05/2026 13:30,Borussia-Park,Borussia Mönchengladbach,Dortmund,
284,32,02/05/2026 13:30,Weserstadion,Werder Bremen,Augsburg,
285,32,02/05/2026 13:30,Europa-Park Stadion,Sport-Club Freiburg,Wolfsburg,
286,32,02/05/2026 13:30,Deutsche Bank Park,Ein Frankfurt,Hamburg,
287,32,02/05/2026 13:30,BayArena,Leverkusen,RB Leipzig,
288,32,02/05/2026 13:30,Allianz Arena,Bayern Munich,Heidenheim,
289,33,09/05/2026 13:30,Volksparkstadion,Hamburg,Sport-Club Freiburg,
290,33,09/05/2026 13:30,RheinEnergieStadion,FC Koln,Heidenheim,
291,33,09/05/2026 13:30,PreZero Arena,Hoffenheim,Werder Bremen,
292,33,09/05/2026 13:30,WWK Arena,Augsburg,Borussia Mönchengladbach,
293,33,09/05/2026 13:30,Volkswagen Arena,Wolfsburg,Bayern Munich,
294,33,09/05/2026 13:30,MHPArena,Stuttgart,Leverkusen,
295,33,09/05/2026 13:30,Red Bull Arena,RB Leipzig,St Pauli,
296,33,09/05/2026 13:30,Mewa Arena,1. FSV Mainz 05,Union Berlin,
297,33,09/05/2026 13:30,Signal Iduna Park,Dortmund,Ein Frankfurt,
298,34,16/05/2026 13:30,Voith-Arena,Heidenheim,1. FSV Mainz 05,
299,34,16/05/2026 13:30,Millerntor-Stadion,St Pauli,Wolfsburg,
300,34,16/05/2026 13:30,An der Alten Försterei,Union Berlin,Augsburg,
301,34,16/05/2026 13:30,Borussia-Park,Borussia Mönchengladbach,Hoffenheim,
302,34,16/05/2026 13:30,Weserstadion,Werder Bremen,Dortmund,
303,34,16/05/2026 13:30,Europa-Park Stadion,Sport-Club Freiburg,RB Leipzig,
304,34,16/05/2026 13:30,Deutsche Bank Park,Ein Frankfurt,Stuttgart,
305,34,16/05/2026 13:30,BayArena,Leverkusen,Hamburg,
306,34,16/05/2026 13:30,Allianz Arena,Bayern Munich,FC Koln,
