Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Poland,Ekstraklasa,2025/2026,20/09/2025,13:45,Arka Gdynia,Korona Kielce,0,0,D,2.82,3.31,2.62,3.0,3.45,2.5,2.82,3.26,2.36,3.1,3.4,2.48,3.0,3.4,2.3
Poland,Ekstraklasa,2025/2026,20/09/2025,16:30,Termalica B-B.,Lech Poznan,0,2,A,3.43,3.94,2.02,3.6,3.9,2.0,3.36,3.66,1.95,3.65,4.0,2.06,3.6,3.8,1.95
Poland,Ekstraklasa,2025/2026,20/09/2025,19:15,Rakow,Legia,1,1,D,2.4,3.47,3.0,2.38,3.55,3.1,2.31,3.31,2.86,2.46,3.5,3.15,2.35,3.25,3.0
Poland,Ekstraklasa,2025/2026,21/09/2025,11:15,Zaglebie,Motor Lublin,2,2,D,2.07,3.82,3.4,2.12,3.75,3.5,2.02,3.61,3.19,2.06,3.9,3.6,1.95,3.7,3.5
Poland,Ekstraklasa,2025/2026,21/09/2025,13:45,Pogon Szczecin,Lechia Gdansk,3,4,A,1.99,3.85,3.6,1.88,4.0,3.9,1.82,3.79,3.67,1.92,4.2,4.0,1.85,4.0,3.8
Poland,Ekstraklasa,2025/2026,21/09/2025,16:30,Gornik Zabrze,Widzew Lodz,3,2,H,2.04,3.45,3.84,2.05,3.65,3.75,1.98,3.39,3.48,2.06,3.5,4.0,2.0,3.5,3.6
Poland,Ekstraklasa,2025/2026,24/09/2025,17:45,Rakow,Lech Poznan,2,2,D,2.05,3.52,3.73,2.15,3.5,3.5,2.07,3.33,3.31,2.22,3.6,3.55,2.1,3.3,3.25
Poland,Ekstraklasa,2025/2026,24/09/2025,20:00,Legia,Jagiellonia,0,0,D,1.77,3.98,4.42,1.77,4.0,4.6,1.73,3.82,4.07,1.81,4.1,4.6,1.7,3.8,4.2
Poland,Ekstraklasa,2025/2026,26/09/2025,19:30,Wisla Plock,GKS Katowice,1,1,D,1.99,3.72,3.71,2.0,3.75,3.7,1.94,3.52,3.5,2.04,3.75,4.0,1.91,3.6,3.5
Poland,Ekstraklasa,2025/2026,27/09/2025,13:45,Korona Kielce,Lechia Gdansk,3,0,H,1.95,3.62,3.97,1.95,3.6,3.95,1.91,3.49,3.66,1.95,3.95,4.1,1.85,3.6,3.7
